id,droptype,0,dropProb,itemtype,itemid ,price,timesLimit,producttype,productID,amount,openlevel
40101,1,联盟商会,900,5,0,500,1,14,21000346,5,0
40102,1,联盟商会,900,5,0,500,1,14,21000347,5,0
40103,1,联盟商会,100,5,0,1600,1,14,21000361,5,20
40201,2,联盟商会,900,5,0,500,1,14,21000349,5,0
40202,2,联盟商会,900,5,0,500,1,14,21000350,5,0
40203,2,联盟商会,100,5,0,1600,1,14,21000363,5,20
40301,3,联盟商会,900,5,0,500,1,14,21000352,5,0
40302,3,联盟商会,900,5,0,500,1,14,21000353,5,0
40303,3,联盟商会,100,5,0,1600,1,14,21000365,5,20
40401,4,联盟商会,900,5,0,360,1,14,350046,5,0
40402,4,联盟商会,900,5,0,360,1,14,350047,5,0
40403,4,联盟商会,100,5,0,360,1,14,350061,5,20
40501,5,联盟商会,900,5,0,360,1,14,350049,5,0
40502,5,联盟商会,900,5,0,360,1,14,350050,5,0
40503,5,联盟商会,100,5,0,360,1,14,350063,5,20
40601,6,联盟商会,900,5,0,360,1,14,350052,5,0
40602,6,联盟商会,900,5,0,360,1,14,350053,5,0
40603,6,联盟商会,100,5,0,360,1,14,350065,5,20
40701,7,联盟商会,1000,5,0,200,1,14,700004,1,0
40702,7,联盟商会,1000,5,0,800,1,14,700005,1,30
40703,7,联盟商会,1000,5,0,3200,1,14,700006,1,60
40801,8,联盟商会,1000,5,0,200,1,14,700004,1,0
40802,8,联盟商会,1000,5,0,800,1,14,700005,1,30
40803,8,联盟商会,1000,5,0,3200,1,14,700006,1,60
40901,9,联盟商会,1000,5,0,200,1,14,700004,1,0
40902,9,联盟商会,1000,5,0,800,1,14,700005,1,30
40903,9,联盟商会,1000,5,0,3200,1,14,700006,1,60
