id,single_lose_desc,single_win_desc,all_desc,multiple,horn
0,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,0,0,0,0
1,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,0,0,0,0
2,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,0,0,0,0
3,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,0,0,0,0
4,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,0,0,0,0
5,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,0,[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
6,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,0,[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
7,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,0,[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
8,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,0,[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
9,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,0,[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
10,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,0,[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
11,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,0,[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
12,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,0,[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
13,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,0,[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
14,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,0,[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
15,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,0,[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
16,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,0,[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
17,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,0,[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
18,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,0,[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
19,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,0,[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
20,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,0,[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
21,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,0,[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
22,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,0,[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
23,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,0,[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
24,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,0,[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
25,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,0,[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
26,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,0,[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
27,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,0,[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
28,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,0,[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
29,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,0,[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
30,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,0,[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
31,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,0,[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
32,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,0,[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
33,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,0,[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
34,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,0,[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
35,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,0,[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
36,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,0,[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
37,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,0,[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
38,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,[colorindex:colorIndex=0]你终结了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]的[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
39,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,[colorindex:colorIndex=0]你终结了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]的[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
40,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,[colorindex:colorIndex=0]你终结了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]的[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
41,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,[colorindex:colorIndex=0]你终结了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]的[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
42,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,[colorindex:colorIndex=0]你终结了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]的[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
43,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,[colorindex:colorIndex=0]你终结了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]的[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
44,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,[colorindex:colorIndex=0]你终结了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]的[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
45,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,[colorindex:colorIndex=0]你终结了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]的[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
46,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,[colorindex:colorIndex=0]你终结了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]的[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
47,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,[colorindex:colorIndex=0]你终结了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]的[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
48,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,[colorindex:colorIndex=0]你终结了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]的[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
49,你被[colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败,[colorindex:colorIndex=0]你终结了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]的[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]，终结其[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0],2,1
