id,title,content
1,http://pokemonassets.winnergame.com/assets/images/10050.png,[colorF:0;240;255]【活动内容】[colorF:255;255;255]首次充值任意金额，即可获得价值[colorF:246;255;0]6480钻石[colorF:255;255;255]的首充礼包（[colorF:246;255;0]皮丘+杰尼龟+金币*50000+水晶*5000）[endl:num=1][colorF:255;255;255]让您瞬间高大上；领取首充礼包，还会触发超值[colorF:246;255;0]限时礼包[colorF:255;255;255]!惊喜不断！
2,http://pokemonassets.winnergame.com/assets/images/10042.png,[colorF:255;255;255]关注官方微信[colorF:246;255;0]xiaojingling2016[colorF:255;255;255]，每周2~3波[colorF:246;255;0]独家礼包[colorF:255;255;255]等你来拿！[endl:num=1]更有[colorF:246;255;0]皮神公仔、电话卡、京东卡[colorF:255;255;255]等各种好礼，快去百度贴吧[colorF:246;255;0]“神奇小精灵”[colorF:255;255;255]领取吧！
3,http://pokemonassets.winnergame.com/assets/images/10040.png,[colorF:0;240;255]【活动奖励】[colorF:246;255;0][endl:num=1]登陆天数    奖励[colorF:255;255;255][endl:num=1]第一天      呱呱泡蛙，探索药剂*1[endl:num=1]第二天      皮丘，火狐狸[endl:num=1]第三天      呱呱泡蛙，呱呱泡蛙专属装备碎片*30[endl:num=1]第四天      杰尼龟，水晶*1500[endl:num=1]第五天      呱呱泡蛙，呱呱泡蛙专属装备碎片*30[endl:num=1]第六天      火狐狸，钻石*100[endl:num=1]第七天      杰尼龟，钻石*200[endl:num=1]详情请见[colorF:246;255;0]主页-7日任务-登录奖励
4,http://pokemonassets.winnergame.com/assets/images/10043.png,[colorF:0;240;255]【活动时间】[colorF:108;255;0]开服前7日[endl:num=1][colorF:0;240;255]【活动内容】[colorF:255;255;255]玩家达到[colorF:246;255;0]vip3[colorF:255;255;255]就可以购买基金，[colorF:246;255;0]1000钻石[colorF:255;255;255]总计返利[colorF:246;255;0]10000钻石[colorF:255;255;255]！购买达到指定人数，全服也将获得奖励，共计[colorF:246;255;0]7500钻石[colorF:255;255;255]！[endl:num=1]详情请见[colorF:246;255;0]主页-活动-开服基金
5,http://pokemonassets.winnergame.com/assets/images/10045.png,[colorF:0;240;255]【活动时间】[colorF:108;255;0]永久[colorF:255;255;255][endl:num=1][colorF:0;240;255]【活动内容】[colorF:255;255;255]活动期间，玩家凡是达到指定等级将获得丰富奖励[colorF:246;255;0][endl:num=1]       等级       奖励[colorF:255;255;255][endl:num=1]       10        金币*20000，探索药剂（中）*2[endl:num=1]       15        金币*30000，联盟入场卷*2[endl:num=1]       18        金币*50000，洗练石*10[endl:num=1]       20        金币*100000，紫色果实礼盒*1[endl:num=1]       25        金币*150000，技能卷轴*2[endl:num=1]       30        金币*200000，精灵球*10[endl:num=1]       35        金币*300000，洗练石*50[endl:num=1]       40        金币*500000，紫色果实礼盒*2
6,http://pokemonassets.winnergame.com/assets/images/10041.png,[colorF:0;240;255]【活动时间】[colorF:108;255;0]开服至第二天23：59[endl:num=1][colorF:0;240;255]【活动内容】[colorF:255;255;255]活动时间内充值钻石赠送钻石，可多次充值，多次领取！（例：充值一次648元，领取3240钻石；再充值一次648元，再可领取3240钻石）[colorF:246;255;0][endl:num=1]充值额度（单位：元）  奖励[colorF:255;255;255][endl:num=1]充值6元       赠送钻石*30[endl:num=1]充值30元      赠送钻石*150[endl:num=1]充值50元      赠送钻石*250[endl:num=1]充值68元      赠送钻石*340[endl:num=1]充值198元     赠送钻石*990[endl:num=1]充值328元     赠送钻石*1640[endl:num=1]充值648元     赠送钻石*3240
7,http://pokemonassets.winnergame.com/assets/images/10049.png,[colorF:0;240;255]【活动时间】[colorF:108;255;0]开服至第二天23：59[endl:num=1][colorF:0;240;255]【活动奖励】[colorF:246;255;0][endl:num=1]充值额度（单位：元）  奖励[colorF:255;255;255][endl:num=1]充值累计满6元        赠送金币*60000，抽奖卷*2[endl:num=1]充值累计满50元       赠送水晶*7500，抽奖卷*3[endl:num=1]充值累计满100元      赠送金币*500000，抽奖卷*5[endl:num=1]充值累计满200元      赠送水晶*18000，抽奖卷*10[endl:num=1]充值累计满500元      赠送金币*2000000，抽奖卷*20[endl:num=1]充值累计满1000元     赠送水晶*70000，抽奖卷*40[endl:num=1]充值累计满2000元     赠送金币*4000000，抽奖卷*80[endl:num=1]充值累计满5000元     赠送水晶*200000，抽奖卷*200[endl:num=1]充值累计满10000元    S级席多蓝*1，S级霏米纳*1，S级雪拉比*1[endl:num=1]详情请见[colorF:246;255;0]主页-活动-累计充值
8,http://pokemonassets.winnergame.com/assets/images/10047.png,[colorF:0;240;255]【活动时间】[colorF:108;255;0]开服第3天、第5天、第7天下午17:00-20:00[endl:num=1][colorF:0;240;255]【活动内容】[colorF:255;255;255]活动期间击杀BOSS即可获得S级精灵碎片、金币、水晶、洗炼石、BOSS专属头像。[endl:num=1][colorF:255;255;255]注：必须[colorF:246;255;0]击杀BOSS[colorF:255;255;255]才可以获得奖励。
9,http://pokemonassets.winnergame.com/assets/images/10044.png,[colorF:0;240;255]【活动时间】[colorF:108;255;0]开服第七天0:00-23:59[endl:num=1][colorF:0;240;255]【活动内容】[colorF:255;255;255]活动时间内商店中召唤精灵价格[colorF:246;255;0]8折优惠[colorF:255;255;255]，详情见[colorF:246;255;0]游戏商店！
10,http://pokemonassets.winnergame.com/assets/images/10048.png,[colorF:0;240;255]【活动时间】[colorF:108;255;0]开服第3天0：00至23：59[endl:num=1][colorF:0;240;255]【活动内容】[colorF:255;255;255]活动时间内每天都可在活动中心购买超值S级精灵，每个礼包每天只能购买一次，详情见活动中心！[endl:num=1]14999钻石=火属性S宠物[endl:num=1]14999钻石=水属性S宠物[endl:num=1]14999钻石=木属性S宠物[endl:num=1][colorF:0;240;255]【活动时间】[colorF:108;255;0]开服第四天0：00至23：59[endl:num=1][colorF:0;240;255]【活动内容】[colorF:255;255;255]活动时间内可兑换指定的[colorF:246;255;0]S宠专属装备[colorF:255;255;255]，每个[colorF:246;255;0]S宠专属装备[colorF:255;255;255]只能兑换[colorF:246;255;0]5次[colorF:255;255;255]，详情见活动中心！[endl:num=1][colorF:246;255;0]1999钻石[colorF:255;255;255]兑换一个指定[colorF:246;255;0]S宠专属装备[endl:num=1][colorF:0;240;255]【活动时间】[colorF:108;255;0]开服第五天0：00至23：59[endl:num=1][colorF:0;240;255]【活动内容】[colorF:255;255;255]活动时间内可兑换指定的[colorF:246;255;0]A[colorF:255;255;255]或[colorF:246;255;0]S宠[colorF:255;255;255]专属装备，每个[colorF:246;255;0]A[colorF:255;255;255]或[colorF:246;255;0]S宠[colorF:255;255;255]专属装备只能[colorF:246;255;0]兑换5次[colorF:255;255;255]，详情见[colorF:246;255;0]活动中心！[colorF:255;255;255][endl:num=1][colorF:246;255;0]199钻石[colorF:255;255;255]兑换一个[colorF:246;255;0]A宠专属装备[endl:num=1][colorF:246;255;0]1999钻石[colorF:255;255;255]兑换一个[colorF:246;255;0]S宠专属装备
