id,type,index,name,piece_index,iconid,rarity,maskIcon,desc,tips
710001,7,0,麻布,0,710001,1,0,[colorindex:colorIndex=0]【装备进阶】以各种麻类植物纤维制成的布,0
710002,7,0,皮革,0,710002,2,0,[colorindex:colorIndex=0]【装备进阶】经脱毛和鞣制得到的动物皮,0
710003,7,0,棉布,0,710003,3,0,[colorindex:colorIndex=0]【装备进阶】用棉纱织成的布，吸湿性、透气性甚佳,0
710004,7,0,丝绸,0,710004,4,0,[colorindex:colorIndex=0]【装备进阶】蚕丝或人造丝纯织或交织而成的织品,0
710005,7,0,兽皮,0,710005,5,0,[colorindex:colorIndex=0]【装备进阶】某种远古兽类的皮毛，散发着一股奇怪的气息,0
710006,7,0,星羽绡,0,710006,6,0,[colorindex:colorIndex=0]【装备进阶】用传说中的精灵羽毛织成的羽绡,0
710007,7,0,彩虹绢,0,710007,7,0,[colorindex:colorIndex=0]【装备进阶】远古魔法师用神秘材料编织的布料,0
720001,7,0,石料,0,720001,1,0,[colorindex:colorIndex=0]【装备进阶】普通的石头加工而成,0
720002,7,0,铁矿石,0,720002,2,0,[colorindex:colorIndex=0]【装备进阶】经过工业加工后的精铁原料,0
720003,7,0,辉铜矿,0,720003,3,0,[colorindex:colorIndex=0]【装备进阶】比普通铜矿石含铜量高，看起来金光闪闪,0
720004,7,0,碎银块,0,720004,4,0,[colorindex:colorIndex=0]【装备进阶】从银矿石中提取出来的纯银块,0
720005,7,0,褐金矿,0,720005,5,0,[colorindex:colorIndex=0]【装备进阶】吸收了某种能量的金子，褐色的部分价值更高,0
720006,7,0,秘晶,0,720006,6,0,[colorindex:colorIndex=0]【装备进阶】传说中矿石，据说所在之处都有幻之精灵守护,0
720007,7,0,梦星陨,0,720007,7,0,[colorindex:colorIndex=0]【装备进阶】梦境行星陨落后的碎屑，存世量极低,0
730001,7,0,树枝,0,730001,1,0,[colorindex:colorIndex=0]【装备进阶】常见树木的枝梢，常作为装饰,0
730002,7,0,原木,0,730002,2,0,[colorindex:colorIndex=0]【装备进阶】常见树木加工成的圆木段,0
730003,7,0,妖木,0,730003,3,0,[colorindex:colorIndex=0]【装备进阶】东方的高级木料，带有一些妖精气息,0
730004,7,0,暗纹木,0,730004,4,0,[colorindex:colorIndex=0]【装备进阶】原木被腐化后形成的变异木料，只能通过原木变异获得,0
730005,7,0,珍珠木,0,730005,5,0,[colorindex:colorIndex=0]【装备进阶】精灵们的圣地产出的木料，与精灵的契合性非常之高,0
730006,7,0,血木,0,730006,6,0,[colorindex:colorIndex=0]【装备进阶】以精灵血浇灌的腐木，却拥有极为强盛的生命力,0
730007,7,0,精灵木,0,730007,7,0,[colorindex:colorIndex=0]【装备进阶】少数精灵死后，耗尽灵魂而形成的树木,0
711001,7,0,白水晶,0,711001,1,0,[colorindex:colorIndex=0]【装备进阶】水晶中较为常见，常作为灯饰,0
711002,7,0,绿水晶,0,711002,2,0,[colorindex:colorIndex=0]【装备进阶】简单附魔的水晶，有一定的魔力,0
711003,7,0,蓝水晶,0,711003,3,0,[colorindex:colorIndex=0]【装备进阶】深蓝色水晶，是一种常见的魔法材料,0
711004,7,0,紫水晶,0,711004,4,0,[colorindex:colorIndex=0]【装备进阶】神秘的紫色水晶，占星师们的收藏品,0
711005,7,0,黄水晶,0,711005,5,0,[colorindex:colorIndex=0]【装备进阶】澄黄色的水晶，据说是远古炼金术士实验的副产物,0
711006,7,0,血晶石,0,711006,6,0,[colorindex:colorIndex=0]【装备进阶】血晶石，传说其蕴含极强的生命力,0
711007,7,0,魔晶石,0,711007,7,0,[colorindex:colorIndex=0]【装备进阶】远古炼金实验创造出来的神秘晶石，存世极少,0
712003,7,0,蓝宝石,0,712003,3,0,[colorindex:colorIndex=0]【专属进阶】含特定元素的刚玉宝石，一般以蓝色为主,0
712004,7,0,紫宝石,0,712004,4,0,[colorindex:colorIndex=0]【专属进阶】蓝宝石中少见的紫色宝石，但大多是人工合成的,0
712005,7,0,黄宝石,0,712005,5,0,[colorindex:colorIndex=0]【专属进阶】据说是太空中的宝石，也有人说这是传说精灵的灵魂凝结,0
712006,7,0,红宝石,0,712006,6,0,[colorindex:colorIndex=0]【专属进阶】精灵们喜爱的红宝石，拥有罕见的亲和性,0
712007,7,0,神秘石,0,712007,7,0,[colorindex:colorIndex=0]【专属进阶】远古炼金实验创造出来的神秘宝石，存世极少,0
713003,7,0,蓝色徽章,0,713003,3,0,[colorindex:colorIndex=0]【徽章进阶】徽章进阶所需的特殊道具，非常难得,0
713004,7,0,紫色徽章,0,713004,4,0,[colorindex:colorIndex=0]【徽章进阶】徽章进阶所需的特殊道具，非常难得,0
713005,7,0,金色徽章,0,713005,5,0,[colorindex:colorIndex=0]【徽章进阶】徽章进阶所需的特殊道具，非常难得,0
713006,7,0,红色徽章,0,713006,6,0,[colorindex:colorIndex=0]【徽章进阶】徽章进阶所需的特殊道具，非常难得,0
713007,7,0,粉红徽章,0,713007,7,0,[colorindex:colorIndex=0]【徽章进阶】徽章进阶所需的特殊道具，非常难得,0
740001,7,0,火系果实,0,740001,1,0,[colorindex:colorIndex=0]【[colorindex:colorIndex=5]火系[colorindex:colorIndex=0]精灵进化】,0
740002,7,0,火系果实,0,740002,2,0,[colorindex:colorIndex=0]【[colorindex:colorIndex=5]火系[colorindex:colorIndex=0]精灵进化】,0
740003,7,0,辣茄,0,740003,3,0,[colorindex:colorIndex=0]【[colorindex:colorIndex=5]火系[colorindex:colorIndex=0]精灵进化】常见的番茄品种，果皮上的刺非常辛辣,0
740004,7,0,红蔓莓,0,740004,4,0,[colorindex:colorIndex=0]【[colorindex:colorIndex=5]火系[colorindex:colorIndex=0]精灵进化】酸味十足的果实，生长缓慢，但是胜在数量太多,0
740005,7,0,麻雾果,0,740005,5,0,[colorindex:colorIndex=0]【[colorindex:colorIndex=5]火系[colorindex:colorIndex=0]精灵进化】非常罕见的致幻果实，能提升精灵的战斗能力,0
740006,7,0,赤迦果,0,740006,6,0,[colorindex:colorIndex=0]【[colorindex:colorIndex=5]火系[colorindex:colorIndex=0]精灵进化】顶级果实之一，只生长在赤道沙漠地区，非常难得,0
740007,7,0,红阳榴,0,740007,7,0,[colorindex:colorIndex=0]【[colorindex:colorIndex=5]火系[colorindex:colorIndex=0]精灵进化】顶级果实之一，据说是神灵都爱食用的零嘴果实,0
750001,7,0,水系果实,0,750001,1,0,[colorindex:colorIndex=0]【[colorindex:colorIndex=4]水系[colorindex:colorIndex=0]精灵进化】,0
750002,7,0,水系果实,0,750002,2,0,[colorindex:colorIndex=0]【[colorindex:colorIndex=4]水系[colorindex:colorIndex=0]精灵进化】,0
750003,7,0,冰瓜,0,750003,3,0,[colorindex:colorIndex=0]【[colorindex:colorIndex=4]水系[colorindex:colorIndex=0]精灵进化】在寒冰原生长的小长瓜品种，受到水系精灵喜爱,0
750004,7,0,水葡萄,0,750004,4,0,[colorindex:colorIndex=0]【[colorindex:colorIndex=4]水系[colorindex:colorIndex=0]精灵进化】生长在水中的葡萄，是水系精灵常食用的果实,0
750005,7,0,莲雾果,0,750005,5,0,[colorindex:colorIndex=0]【[colorindex:colorIndex=4]水系[colorindex:colorIndex=0]精灵进化】性喜寒冷怕炎热，越是寒冷的地方长出的果实越饱满,0
750006,7,0,冰迦果,0,750006,6,0,[colorindex:colorIndex=0]【[colorindex:colorIndex=4]水系[colorindex:colorIndex=0]精灵进化】顶级果实之一，一般只能生长在极北寒冰原,0
750007,7,0,浮番果,0,750007,7,0,[colorindex:colorIndex=0]【[colorindex:colorIndex=4]水系[colorindex:colorIndex=0]精灵进化】顶级果实之一，据说是神灵都爱食用的零嘴果实,0
760001,7,0,木系果实,0,760001,1,0,[colorindex:colorIndex=0]【[colorindex:colorIndex=3]木系[colorindex:colorIndex=0]精灵进化】,0
