id,droptype,0,dropProb,itemtype,itemid ,price,timesLimit,producttype,productID,amount,openlevel
30101,1,迷宫商人,1000,2,0,100,1,13,13,1,0
30102,1,迷宫商人,1000,2,0,100,1,13,13,1,0
30201,2,迷宫商人,1000,2,0,100,1,13,13,1,0
30202,2,迷宫商人,1000,2,0,100,1,13,13,1,0
30301,3,迷宫商人,1000,2,0,100,1,13,13,1,0
30302,3,迷宫商人,1000,2,0,100,1,13,13,1,0
30401,4,迷宫商人,1000,2,0,100,1,13,13,1,0
30402,4,迷宫商人,1000,2,0,100,1,13,13,1,0
30501,5,迷宫商人,1000,2,0,100,1,13,13,1,0
30502,5,迷宫商人,1000,2,0,100,1,13,13,1,0
30601,6,迷宫商人,1000,2,0,100,1,13,13,1,0
30602,6,迷宫商人,1000,2,0,100,1,13,13,1,0
