id,droptype,0,dropProb,itemtype,itemid ,price,timesLimit,producttype,productID,amount,openlevel
20101,1,迷宫商人,1000,2,0,100,1,13,13,1,0
20102,1,迷宫商人,1000,2,0,100,1,13,13,1,0
20201,2,迷宫商人,1000,2,0,100,1,13,13,1,0
20202,2,迷宫商人,1000,2,0,100,1,13,13,1,0
20301,3,迷宫商人,1000,2,0,100,1,13,13,1,0
20302,3,迷宫商人,1000,2,0,100,1,13,13,1,0
20401,4,迷宫商人,1000,2,0,100,1,13,13,1,0
20402,4,迷宫商人,1000,2,0,100,1,13,13,1,0
20501,5,迷宫商人,1000,2,0,100,1,13,13,1,0
20502,5,迷宫商人,1000,2,0,100,1,13,13,1,0
20601,6,迷宫商人,1000,2,0,100,1,13,13,1,0
20602,6,迷宫商人,1000,2,0,100,1,13,13,1,0
